Covariate,Moran's I (Queen),P Value (Queen),N Used
Age 40-49 (%),0.59,0.00***,331
Home work (%),0.52,0.00***,331
Unemployed (%),0.49,0.00***,331
Lower supervisory (%),0.49,0.00***,331
Pop density,0.48,0.00***,331
Routine (%),0.47,0.00***,331
Non-UK (%),0.47,0.00***,331
Level 4 qual. (%),0.46,0.00***,331
Semiroutine (%),0.45,0.00***,331
No qualifications (%),0.45,0.00***,331
Higher managerial (%),0.45,0.00***,331
Age 30-39 (%),0.43,0.00***,331
Age 60-69 (%),0.43,0.00***,331
Not deprived (%),0.41,0.00***,331
Age 70+ (%),0.40,0.00***,331
Age 0-9 (%),0.39,0.00***,331
No car (%),0.39,0.00***,331
Small employers (%),0.37,0.00***,331
Rural (%),0.35,0.00***,331
Large households (%),0.32,0.00***,331
Lower managerial (%),0.25,0.00***,331
Owned (%),0.24,0.00***,331
Intermediate (%),0.22,0.00***,331
Age 10-19 (%),0.19,0.00***,331
Age 50-59 (%),0.19,0.00***,331
Female (%),0.19,0.00***,331
Recent migrant (%),0.18,0.00***,331
No central heating (%),0.13,0.00***,331
Age 20-29 (%),0.12,0.01***,331
Students (%),-0.00,0.44,331
