Covariate,N,Pearson r,Spearman rho,Distance Correlation,Linear AIC,Linear BIC,GAM AIC,GAM BIC
Intermediate (%),330,-0.56***,-0.51***,0.51,6.86,18.26,6.86,18.26
No car (%),330,0.51***,0.45***,0.49,33.16,44.56,30.64,50.91
No central heating (%),330,0.36***,0.39***,0.47,85.99,97.39,43.63,66.29
Age 20-29 (%),330,0.39***,0.27***,0.42,76.1,87.5,49.82,72.43
Owned (%),330,-0.47***,-0.36***,0.44,50.13,61.53,50.55,65.34
25-29 (%),330,0.36***,0.21***,0.39,85.91,97.31,60,82.34
Students (%),330,0.39***,0.36***,0.43,76.54,87.93,64.26,86.79
55-59 (%),330,-0.27***,-0.18***,0.34,106.6,118,66.73,89.03
85-89 (%),330,-0.20***,-0.21***,0.30,117.31,128.71,67.77,89.13
20-24 (%),330,0.35***,0.28***,0.40,86.47,97.87,68.38,91.05
Unemployed (%),330,0.35***,0.31***,0.37,88.94,100.34,70.78,91.82
Age 50-59 (%),330,-0.32***,-0.23***,0.36,96.38,107.78,71.42,92.94
Age 70+ (%),330,-0.20***,-0.18***,0.30,116.76,128.16,71.5,92.32
60-64 (%),330,-0.20***,-0.14**,0.29,118.05,129.45,72.18,94.01
75-79 (%),330,-0.20***,-0.17***,0.30,117.57,128.97,72.66,93.74
Recent migrant (%),330,0.38***,0.22***,0.38,80.81,92.2,72.69,94.46
Non white (%),330,0.32***,0.14**,0.35,96.37,107.77,73.81,95.63
Age 60-69 (%),330,-0.18***,-0.13**,0.28,120.38,131.78,74.81,96.01
70-74 (%),330,-0.21***,-0.17***,0.29,116.44,127.84,74.92,96.14
80-84 (%),330,-0.19***,-0.17***,0.29,118.36,129.76,75.2,96.26
Small employers (%),330,-0.14**,-0.21***,0.27,124.45,135.84,75.25,96.43
50-54 (%),330,-0.36***,-0.31***,0.37,85.64,97.04,76.22,95.99
65-69 (%),330,-0.16***,-0.12**,0.27,122.43,133.83,78,99.32
Pop density,330,0.37***,0.21***,0.36,81.94,93.34,80.94,99.36
Large households (%),330,0.33***,0.23***,0.38,91.9,103.3,85.6,107.61
30-34 (%),330,0.28***,0.17***,0.30,104.31,115.71,87.32,107.43
Non-UK (%),330,0.28***,0.11**,0.31,104.75,116.15,88.1,109.5
UK (%),330,-0.28***,-0.11**,0.31,104.75,116.15,88.1,109.5
15-19 (%),330,0.20***,0.17***,0.30,117.37,128.77,92.57,114.75
Age 30-39 (%),330,0.23***,0.14**,0.27,113.48,124.88,92.64,112.3
Age 10-19 (%),330,0.08,0.07,0.20,128.75,140.15,99.85,120.65
Residents,330,0.29***,0.28***,0.31,101.38,112.78,101.36,117.36
Households,330,0.29***,0.30***,0.31,102.03,113.42,101.85,118.06
45-49 (%),330,-0.26***,-0.28***,0.28,106.88,118.28,102.08,121.36
Level 4 qual. (%),330,0.27***,0.19***,0.22,106.06,117.46,102.34,123.7
Rural (%),330,-0.07,-0.18***,0.19,129.03,140.42,106.32,128.71
35-39 (%),330,0.14**,0.09*,0.21,123.9,135.3,107.72,129.46
X,330,0.01,0.01,0.17,130.84,142.24,108.93,128.36
Lower managerial (%),330,-0.25***,-0.26***,0.26,109.93,121.32,109.89,126.14
10-14 (%),330,-0.13**,-0.14**,0.19,125.46,136.86,112.14,131.68
Not deprived (%),330,-0.21***,-0.25***,0.24,115.47,126.87,115.48,126.87
Bad health (%),330,0.20***,0.25***,0.26,117.04,128.44,116.2,133.31
Lower supervisory (%),330,-0.19***,-0.18***,0.22,118.62,130.02,118.47,135.21
Home work (%),330,0.01,-0.06,0.14,130.85,142.25,121.99,141.82
Severe disability (%),330,0.16***,0.19***,0.24,122.32,133.72,122.32,133.72
rural_pop,330,-0.03,-0.16***,0.19,130.5,141.89,123.06,143.86
5-9 (%),330,-0.11**,-0.12**,0.17,126.68,138.08,123.94,142.46
Female (%),330,0.04,0.01,0.10,130.34,141.73,124.2,145.71
Higher managerial (%),330,-0.03,-0.10*,0.13,130.49,141.89,126.19,144.46
Age 40-49 (%),330,-0.11**,-0.15**,0.17,126.63,138.03,127.08,141.53
Semiroutine (%),330,-0.08,-0.04,0.14,128.82,140.22,127.24,145.35
Age 0-9 (%),330,-0.08,-0.08,0.17,128.78,140.17,127.38,145.23
0-4 (%),330,-0.05,-0.04,0.18,130.15,141.55,128.38,146.63
No qualifications (%),330,0.03,0.06,0.10,130.65,142.05,130.04,146.88
Routine (%),330,0.04,0.05,0.12,130.37,141.77,130.37,141.77
40-44 (%),330,-0.01,-0.04,0.15,130.85,142.24,131.26,146.03
